holding_institution,shelfmark,url
nyu,Fragment 051,https://archive.org/details/Fragment051_25
nyu,Fragment 116,https://archive.org/details/Fragment116_25
nyu,Fragment 117,https://archive.org/details/Fragment117_25
providence,Ege MS 1,https://archive.org/details/EgeMS1_28
providence,Ege MS 2,https://archive.org/details/EgeMS2_28
providence,Ege MS 3,https://archive.org/details/EgeMS3_28
providence,Wetmore MS 1,https://archive.org/details/WetmoreMS1_28
providence,Wetmore MS 2,https://archive.org/details/WetmoreMS2_28
rome,R.B.R.146.3.Flo,https://archive.org/details/R_B_R_146_3_Flo_29
rome,sine numero,https://archive.org/details/sinenumero_29
rutgers,MC 0886:01,https://archive.org/details/MC088601_6
rutgers,MC 0886:02,https://archive.org/details/MC088602_6
rutgers,MC 0886:03,https://archive.org/details/MC088603_6
rutgers,MC 0886:04,https://archive.org/details/MC088604_6
