title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Ḥāshīyah Jalāl al-Manṭiq maʻa Tatimmat Amīr Abū al-Fatḥ lahā wa maʻa Ḥāshīyah ... ʻalá Jalāl al-Manṭiq,حاشية جلال المنطق مع تتمة امير ابو الفتح لها و مع حاشية ... على جلال المنطق,,,,,,
al-Ḥāshiyah al-jalīlah ... [etc.,الحاشية الجليلة,,,,,,
Ḥāshiyat Mullā Jalāl bar Tahdhīb-i manṭiq,حاشية ملا جلال بر تهذيب منطق,,,,,,
Risālah al-Ḥusaynīyah ... [etc,رسالة الحسينية ... الخ,,,,,,
Tawjīh al-basmalah ... [etc,توجيه البسملة ... الخ,,,,,Tawjīh al-basmalah,Q11910
Itḥāf ʻalá Nubdhat al-isʻāf fī maʻrifat qaws al-khilāf ... [etc,اتحاف على نبذة الاسعاف في معرفة قوس الخلاف ... الخ,,,,,,
Risālat al-mīzān ... [etc,رسالة الميزان ... الخ,,,,,,
al-Qānūn fī al-muʻālajāt,القانون في المعالجات,Qānūn fī al-ṭibb,قانون في الطب,Canon of Medicine,Q2826,,
al-Durrah al-tājiyah fī ʻilm al-ḥisāb,الدرة التاجية في علم الحساب,,,,,,
Tafsīr Abī al-Ḥasan ʻAlī ibn Riḍwān ibn Jaʻfar al-mutaṭabbib li-Kitāb al-arbaʻah Baṭlamiyūs al-Qalawdī fī al-qaḍāʼ bi-al-nujūm ʻalá al-ḥawādith,تفسير ابي الحسن علي بن رضوان بن جعفر المتطبب لكتاب الاربعة بطلميوس القلودي في القضا بالنجوم على الحوادث,,,,,,
al-Malḥamah al-mubārakah ... [etc,الملحمة المباركة ... الخ,,,,,,
al-Futūḥāt al-rabbānīyah ʻalá al-Risālah al-Khānīyah,,,,,,,
Arabic and Persian miscellany,,,,,,Arabic texts;Persian texts,Q12258;Q7568
