title_as_recorded,label,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār,,مجمع بحار الانوار في غرائب التنزيل ولطائف الاخبار,,,,,Majmaʻ biḥār al-anwār fī gharāʼib al-tanzīl wa-laṭāʼif al-akhbār,Q11796
al-ʻUjālah al-wāfiyah fī al-siyāsah al-dīnīyah wa-al-dunyawiyah wa-aḥkām al-firāsah al-ḥukmīyah /,,العجالة الوافية في السياسة الدينية والدنيوية واحكام الفراسة الحكمية /,,,,,ʻUjālah al-wāfiyah fī al-siyāsah al-dīnīyah wa-al-dunyawiyah wa-aḥkām al-firāsah al-ḥukmīyah,Q11974
Hādhā Kitāb al-Ṭirāz al-manqūsh fī maḥāsin al-Ḥubūsh /,,هذا كتاب الطراز المنقوش في محاسن الحبوش /,Ṭirāz al-manqūsh,طراز المنقوش,,,Ṭirāz al-manqūsh,Q11749
Kitāb al-Aḥjār al-mulūkīyah ... [etc,,كتاب الاحجار الملوكية ... الخ,,,Kitāb al-Aḥjār al-mulūkīyah,Q11717,,
Tajrīd al-ʻaqāʼid,,تجريد العقائد,,,,,Tajrīd al-ʻaqāʼid,Q11932
al-Risālah al-istidlālīyah ... [etc.,,الرسالة الاستدلالية ... الخ,,,Risālah al-istidlālīyah,Q11683,,
Ḥāshiyat Jalāl li-Sharḥ al-Quṭb lil-Shamsīyah,,حاشية جلال لشرح القطب للشمسية,,,,,Ḥāshiyah,Q11900
Ḥadāʼiq al-inʻām fī faḍāʼil Dimashq al-Shām /,,حدائق الانعام في فضائل دمشق الشام /,,,,,,
Kitāb Tuḥfat al-anām fī faḍāʼil al-Shām /,,كتاب تحفة الانام في فضائل الشام /,Tuḥfat al-anām fī faḍāʼil al-Shām,تحفة الانام في فضائل الشام,,,Tuḥfat al-anām fī faḍāʼil al-Shām,Q11943
Tuḥfat al-anām fī faḍāʼil al-Shām /,,تحفة الانام في فضائل الشام /,,,,,Tuḥfat al-anām fī faḍāʼil al-Shām,Q11943
Zubdat Kashf al-mamālik wa-bayān al-ṭuruq wa-al-masāli /,,زبدة كشف الممالك وبيان الطرق والمسالك /,Kashf al-mamālik wa-bayān al-ṭuruq wa-al-masālik,كشف الممالك وبيان الطرق والمسالك,,,Kashf al-mamālik wa-bayān al-ṭuruq wa-al-masālik,Q11911
Ḥullat al-dhahab al-ibrīz fī riḥlat Baʻlabakk wa-al-Biqāʻ /,Travel writings,حلة الذهب الابريز في رحلة بعلبك والبقاع /,,,Travel writings,Q48579,,
Kitāb al-Barq al-wāmiḍ fī sharḥ Yāʼīyah Ibn al-Fāriḍ /,,كتاب البرق الوامض في شرح يائية ابن الفارض /,Barq al-wāmiḍ fī sharḥ Yāʼīyah Ibn al-Fāriḍ,برق الوامض في شرح يائية ابن الفارض,,,Barq al-wāmiḍ fī sharḥ Yāʼīyah Ibn al-Fāriḍ,Q11939
Durar al-kalim wa-ghurar al-ḥikam,,درر الكلم وغرر الحكم,,,,,Durar al-kalim wa-ghurar al-ḥikam,Q12056
Kitāb Lubb al-lubāb fī taḥrīr al-ansāb /,,كتاب لب اللباب في تحرير الانساب /,Lubb al-lubāb fī taḥrīr al-ansāb,لب اللباب في تحرير الانساب,,,Lubb al-lubāb fī taḥrīr al-ansāb,Q11739
Kitāb Lubb al-lubāb fī taḥrīr al-ansāb /,,كتاب لب اللباب في تحرير الانساب,Lubb al-lubāb fī taḥrīr al-ansāb,لب اللباب في تحرير الانساب,,,Lubb al-lubāb fī taḥrīr al-ansāb,Q11739
Kitāb al-Muwashshaḥah fī ʻilm al-ʻArabīyah /,,كتاب الموشحة في علم العربية /,Muwashshaḥah fī al-naḥw,موشحة في النحو,,,Muwashshaḥ fī al-naḥw,Q11745
Kitāb al-Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah /,,كتاب المطالع السعيدة في شرح الفريدة /,Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah,مطالع السعيدة في شرح الفريدة,,,Maṭāliʻ al-saʻīdah fī sharḥ al-Farīdah,Q12164
Kitāb al-Riyāḍ al-anīqah fī al-nikāt wa-al-ashʻār al-raqīqah,,کتاب الرياض الانيقة في النکات والاشعار الرقيقة,Riyāḍ al-anīqah fī al-nikāt wa-al-ashʻār al-raqīqah,رياض الانيقة في النكات والاشعار الرقيقة,,,Riyāḍ al-anīqah fī al-nikāt wa-al-ashʻār al-raqīqah,Q11632
Kitāb Ṭirāz al-ḥullah fī salṭanat al-qullah /,,كتاب طراز الحلة في سلطنة القلة /,Ṭirāz al-ḥullah fī salṭanat al-qullah,طراز الحلة فى سلطنة القلة,,,Ṭirāz al-ḥullah fī salṭanat al-qullah,Q12016
Majmūʻah laṭīfah tashtamilu ʻalá sajʻ fāyiq wa-naẓm rāyiq wa-akhbār wa-ghurar asmār /,,مجموعة لطيفة تشتمل على سجع فايق ونظم رايق واخبار وغرر اسمار,,,,,Majmūʻah laṭīfah tashtamilu ʻalá sajʻ fāyiq wa-naẓm rāyiq wa-akhbār wa-ghurar asmār,Q11641
Majmūʻ adabīyāt,,مجموع ادبيات,,,,,Majmūʻ adabīyāt,Q12109
Majmūʻ ẓarīf min laṭāyif wa-raqayiq wa-ẓarāyif wa-daqāyiq wa-qaṣāyid sanīyah wa-nukat adabīyah ...,,مجموع ظريف من لطايف ورقايق وظرايف ودقايق وقصايد سنية ونکت ادبية,,,,,Majmūʻ ẓarīf min laṭāyif wa-raqayiq wa-ẓarāyif wa-daqāyiq wa-qaṣāyid sanīyah wa-nukat adabīyah,Q12098
Majmūʻat qiṭaʻ adabīyah,,مجموعة قطع ادبية,,,,,Majmūʻat qiṭaʻ adabīyah,Q11682
Majmūʻ mubārak,,مجموع مبارك,,,,,Majmūʻ mubārak,Q12162
Kitāb Muthallathāt Quṭrub lil-Imām Abū al-Qāsim Shams al-Dīn ʻAbd al-Wahhāb ibn al-Ḥasan ibn Barakāt,,كتاب مثلثات قطرب للامام ابو القاسم شمس الدين عبد الوهاب بن الحسن بن بركات,Sharḥ Naẓm Muthallath Quṭrub,شرح نظم مثلث قطرب,,,Sharḥ Naẓm Muthallath Quṭrub,Q12137
Hādhā Kitāb Sharḥ Faṣīḥ Thaʻlab,,هذا كتاب شرح فصيح ثعلب,Talwīḥ fī sharḥ al-Faṣīḥ,تلويح في شرح الفصيح,,,Talwīḥ fī sharḥ al-Faṣīḥ,Q12041
Hādhihi Ḥ̣ilyat al-faṣīḥ fī naẓm mā qad jāʼa fī al-Faṣīḥ li-Thaʻlab /,Lexicological text,هذه حلية الفصيح في نظم ما قد جاء في الفصيح لثعلب /,Ḥ̣ilyat al-faṣīḥ fī naẓm al-Faṣīḥ,حلية الفصيح في نظم الفصيح,Lexicological text,Q67908,,
Kitāb al-Malāḥin /,,كتاب الملاحن /,Malāḥin,ملاحن,,,Malāḥin,Q12169
Niḍām al-gharīb fī al-lughah al-ʻArabīyah /,,نضام الغريب في اللغة العربية /,,,,,Niḍām al-gharīb fī al-lughah al-ʻArabīyah,Q12062
Ikhtiṣār Durrat al-ghawwāṣ fīmā wahima ʻalá al-khawāṣṣ /,Arabic texts,اختصار درة الغواص فيما وهم على الخواص /,Mukhtaṣar Durrat al-ghawwāṣ fīmā wahima ʻalá al-khawāṣṣ,مختصر درة الغواص فيما وهم على الخواص,Arabic texts,Q12258,,
al-Sāmi fī al-asāmī,,السامي في الاسامي,,,,,Sāmī fī al-asāmī,Q12165
Kitāb al-Sāmī fī al-asāmī /,,كتاب السامى في الاسامي /,Sāmi fī al-asāmī,سامي في الاسامي,,,Sāmī fī al-asāmī,Q12165
Hādhihi Muthallathah fī ʻilm al-lughah al-ʻArabīyah /,Lexicological text,هذه مثلثة في علم اللغة العربية /,Muthallathah fī ʻilm al-lughah al-ʻArabīyah,مثلثة في علم اللغة العربية,Lexicological text,Q67908,,
Ḥāshiyat al-Qāmūs /,,حاشية القاموس /,,,,,Ḥāshiyah,Q11900
Muthallath /,,,,,,,Muthallath,Q11850
al-Juzʼ al-awwal min al-Turjumān,,الجزء الاول من الترجمان,Turjumān,ترجمان,,,Turjumān,Q11880
Jāmiʻ al-lughah /,,جامع اللغة /,,,,,Jāmiʻ al-lughah,Q12019
Lughāt,,لغات,,,,,Lughāt,Q11659
Mirqāt al-lughah,,مرقاة اللغة,,,,,Mirqāt al-lughah,Q11851
Arabic-Turkish vocabulary] ... [etc,,,,,Arabic-Turkish vocabulary,Q12198,,
Arabic-Turkish vocabulary,,,,,,,Arabic-Turkish vocabulary,Q12198
Incomplete Arabic-Turkish vocabulary,,,,,,,Arabic-Turkish vocabulary,Q12198
Sharḥ Qaṣīdah mīmīyah fī al-farq bayna al-ḍād wa-al-ẓāʼ,,شرح قصيدة ميمية في الفرق بين الضاد والظاء,,,,,Sharḥ Qaṣīdah mīmīyah fī al-farq bayna al-ḍād wa-al-ẓāʼ,Q11918
Hādhā Kitāb al-Imʻān li-Birkawī ʻalá al-Maqṣūd,,هذا كتاب الامعان لبركوي على المقصود,Imʻān al-anẓār,امعان الانظار,,,Imʻān al-anẓār,Q12134
Hādhā Kitāb Maṭlūb,Arabic grammatical text,هذا كتاب مطلوب,Maṭlūb fī sharḥ al-Maqṣūd,مطلوب في شرح المقصود,Arabic grammatical text,Q27591,,
Sharḥ al-ʻAwāmil,,شرح العوامل,Sharḥ al-ʻAwāmil al-miʼah,شرح العوامل المائة,,,Sharḥ al-ʻAwāmil al-miʼah,Q11889
Hādhā Kitāb fī sharḥ ʻAwāmil ...,,هذا كتاب في شرح عوامل ...,Sharḥ al-ʻAwāmil al-miʼah,شرح العوامل المائة,,,Sharḥ al-ʻAwāmil al-miʼah,Q11889
Sharḥ al-ʻAwāmil al-miʼah,,شرح العوامل المائة,,,,,Sharḥ al-ʻAwāmil al-miʼah,Q11889
Sharḥ Unmūdhaj Ardabīlī,,شرح انموذج اردبيلي,Sharḥ al-Unmūdhaj,شرح الانموذج,,,Sharḥ al-Unmūdhaj,Q12214
Hādhā al-Kitāb Sharḥ Unmūdhaj min fann al-naḥw,,هذا الكتاب شرح انموذج من فن النحو,Sharḥ al-Unmūdhaj,شرح الانموذج,,,Sharḥ al-Unmūdhaj,Q12214
Sharḥ Unmūdhaj,,شرح انموذج,Ḥadāʼiq al-daqāʼiq fī sharḥ risālat ʻallāmat al-ḥaqāʼiq,حدائق الدقائق في شرح رسالة علامة الحقائق,,,Ḥadāʼiq al-daqāʼiq fī sharḥ risālat ʻallāmat al-ḥaqāʼiq,Q12027
Kitāb al-Iqnāʻ fī al-lughah,,كتاب الاقناع في اللغة,Iqnāʻ li-mā ḥuwiya taḥta al-qināʻ,اقناع لما حوي تحت القنماع,,,Iqnāʻ li-mā ḥuwiya taḥta al-qināʻ,Q11805
Kitāb-i Ḍawʼ,,کتاب ضوء,Ḍawʼ al-Miṣbāḥ,ضوء المصباح,,,Ḍawʼ al-Miṣbāḥ,Q12032
Ḍawʼ al-Miṣbāh,,ضوء المصباح,,,,,Ḍawʼ al-Miṣbāḥ,Q12032
Sharḥ Ḍawʼ al-Miṣbāḥ,,شرح ضوء المصباح,,,,,Sharḥ Ḍawʼ al-Miṣbāḥ,Q12091
Hādhā Kitāb Iftitāḥ min fann al naḥw,,هذا كتاب افتتاح من فن ال نحو,Iftitāḥ,افتتاح,,,Iftitāḥ,Q12058
Iftitāḥ ʻalá al-Miṣbāḥ,,افتتاح على المصباح,Iftitāḥ,افتتاح,,,Iftitāḥ,Q12058
Dībājat sharḥ Miṣbāḥ ʻawāmil,,ديباجة شرح مصباح عوامل,Iʻrāb dībājat al-Miṣbāḥ,اعراب ديباجة المصباح,,,Iʻrāb dībājat al-Miṣbāḥ,Q12050
al-Wāfiyah fī sharḥ al-Kāfiyah,,الوافية في شرح الکافية,,,,,Wāfiyah fī sharḥ al-Kāfiyah,Q11640
Kitāb Mutawāsiṭ,,كتاب متواسط,Wāfiyah fī sharḥ al-Kāfiyah,وافية في شرح الکافية,,,Wāfiyah fī sharḥ al-Kāfiyah,Q11640
Kitāb al-Wāfiyah fī sharḥ al-Kāfiyah /,,كتاب الوافية في شرح الكافية /,Kashf al-Wāfiyah fī sharḥ al-Kāfiyah,كشف الوافية في شرح الكافية,,,Kashf al-Wāfiyah fī sharḥ al-Kāfiyah,Q11786
Ḥāshiyah ʻalá al-Wāfiyah fī sharḥ al-Kāfiyah] ... [etc,,حاشية على الوافية في شرح الكافية ... الخ,,,Ḥāshiyah,Q11900,,
Kitāb Hindī,,كتاب هندي,Sharḥ al-Kāfiyah,شرح الکافية,,,Sharḥ al-Kāfiyah,Q12068
Wāfiyat Ḥājjī Bābā fī sharḥ al-Kāfiyah li-Ibn al-Ḥājib,,وافية حاجي بابا في شرح الكافية لاابن الحاجب,Wāfiyah fī sharḥ al-Kāfiyah,وافية في شرح الکافية,,,Wāfiyah fī sharḥ al-Kāfiyah,Q11640
Ḥāshiyah ʻalá al-Fawāʼid al-Ḍiyāʼīyah] /,,حاشية على الفوائد الضيائية /,,,Ḥāshiyah ʻalá al-Fawāʼid al-Ḍiyāʼīyah,Q54488,,
Mūsáʹzādah ʻalá al-Jāmī wa-ʻIṣmat,,موسى‌زادة على الجامي وعصمت,Sharḥ al-ḥawāshī ʻalá al-Fawāʼid al-Ḍiyāʼīyah,شرح الحواشي على الفوائد الضيائية,,,Sharḥ al-ḥawāshī ʻalá al-Fawāʼid al-Ḍiyāʼīyah,Q11928
Sharḥ al-Khabīṣī ʻalá al-Kāfiyah fī al-naḥw,,شرح الخبيصي على الكافية في النحو,Muwashshaḥ,موشح,,,Muwashshaḥ,Q12192
Sharḥ Kitāb al-Kāfiyah fī al-naḥw,,شرح كتاب الكافية في النحو,,,,,Sharḥ Kitāb al-Kāfiyah fī al-naḥw,Q12043
Haza Kitab-ı Şerh-i Kâfiye /,,هذا كتاب شرح كافية /,Şerh-i Kâfiye,شرح الکافية,,,Şerh-i Kâfiye,Q12202
Kitāb-i Kāfiyah dar sharḥ-i ṣarf,,کتاب کافيه در شرح صرف,Shāfiyah,شافية,,,Shāfiyah,Q11634
Hādhā Kitāb Shāfiyah,,هذا كتاب شافية,Shāfiyah,شافية,,,Shāfiyah,Q11634
Sharḥ taṣrīf al-Shāfiyah /,,شرح تصريف الشافية /,Sharḥ al-Shāfiyah,شرح الشافية,,,Sharḥ al-Shāfiyah,Q11997
Hādhā Kitāb Jārbardī Sharḥ Shāfiyah,,هذا كتاب جاربردي شرح شافية,Sharḥ al-Shāfiyah,شرح الشافية,,,Sharḥ al-Shāfiyah,Q11997
Sharḥ al-Shāfiyah,,شرح الشافية,,,,,Sharḥ al-Shāfiyah,Q11997
al-Manāhij al-wāfiyah fī sharḥ al-Shāfiyah /,,المناهج الوافية في شرح الشافية /,,,,,Manāhij al-wāfiyah fī sharḥ al-Shāfiyah,Q11774
ʻIzzī Sharḥ Saʻd Dīn,,عزي شرح سعد دين,Sharḥ ʻalá al-Taṣrīf al-ʻIzzī,شرح على التصريف العزي,,,Sharḥ al-Taṣrīf al-ʻIzzī,Q12052
al-Mufarrij,,المفرج,,,,,Mufarrij,Q11953
Hādhā Sharḥ al-Shaykh Badr al-Dīn ibn Mālik ʻalá Alfiyat Ibn Mālik fī ʻilm al-ʻArabīyah,,هذا شرح الشيخ بدر الدين ابن مالك على الفية ابن مالك فى علم العربية,Sharḥ Alfīyat Ibn Mālik,شرح الفية ابن مالك,Sharḥ Alfīyat Ibn Mālik,Q12213,,
al-Khulāṣah,,الخلاصة,Sharḥ Alfīyat Ibn Mālik,شرح على الفية ابن مالك في علم العربية,,,Sharḥ Alfīyat Ibn Mālik,Q12213
Ḥ̣āshiyat Sharḥ al-Alfīyah li-Ibn al-Nāẓim /,,حاشية شرح الالفية لابن الناظم /,,,,,Ḥāshiyah,Q11900
Hādhā Sharḥ Ibn ʻAqīl ʻalá Alfīyat Ibn Mālik,,هذا شرح ابن عقيل على الفية ابن مالك,Sharḥ Ibn ʻAqīl ʻalá Alfīyat Ibn Mālik,شرح ابن عقيل على الفيه ابن مالك,Sharḥ Ibn ʻAqīl ʻalá Alfīyat Ibn Mālik,Q54661,,
Ḥāshiyat al-Sujāʻī ʻalá Sharḥ Ibn ʻAqīl,,حاشية السجاعي على شرح ابن عقيل,Fatḥ al-jalīl ʻalá sharḥ Ibn ʻAqīl,فتح الجليل على شرح ابن عقيل,,,Ḥāshiyah,Q11900
Hādhihi Ḥāshiyat Muḥammad al-Khuḍarī al-Shāfiī ʻalá Shar[ḥ] Ibn ʻAqīl li-Alfīyat Ibn Mālik,,هذه حاشية محمد الخضري الشافي على شرح ابن عقيل لالفية ابن مالك,Ḥāshiyah ʻalá Sharḥ Ibn ʻAqīl li-Alfīyat Ibn Mālik,حاشية على شرح ابن عقيل لالفية ابن مالك,Ḥāshiyah,Q11900,,
Sharḥ al-Khulāṣah /,,شرح الخلاصة /,Sharḥ Alfīyat Ibn Mālik,شرح الفية ابن مالك,,,Sharḥ Alfīyat Ibn Mālik,Q12213
Kitāb Sharḥ Alfīyat Ibn Mālik /,,كتاب شرح الفية ابن مالك /,Sharḥ Alfīyat Ibn Mālik,شرح الفية بن مالك,,,Sharḥ Alfīyat Ibn Mālik,Q12213
Tamrīn al-ṭullāb fī ṣināʻat al-iʻrāb,,تمرين الطلاب في صناعة الاعراب,,,,,Tamrīn al-ṭullāb fī ṣināʻat al-iʻrāb,Q11792
Kitāb Ghāyat al-ṭullāb fī maʻrifat al-iʻrāb /,,كتاب غاية الطلاب في معرفة الاعراب /,Ghāyat al-ṭullāb fī maʻrifat al-iʻrāb,غاية الطلاب في معرفة الاعراب,,,Ghāyat al-ṭullāb fī maʻrifat al-iʻrāb,Q11748
Hādhā Kitāb Sharḥ Marāḥ Ḥasan Pāshā,,هذا كتاب شرح مراح حسن پاشا,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,مفراح في شرح مراح الارواح,,,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,Q12093
Hādhā Kitāb al-Mifrāḥ fī sharḥ al-Marāḥ,,هذا كتاب المفراح في شرح المراح,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,مفراح في شرح مراح الارواح,,,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,Q12093
Sharḥ Ḥasan Pāshah ʻalá al-Marāḥ,,شرح حسن پاشه على المراح,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,مفراح في شرح مراح الارواح,,,Mifrāḥ fī sharḥ Marāḥ al-arwāḥ,Q12093
Hādhā Kitāb Dunqūz,,هذا كتاب دنقوز,Sharḥ Marāḥ al-arwāḥ,شرح مراح الارواح,,,Sharḥ Marāḥ al-arwāḥ,Q11639
Sharḥ Marāḥ Dunq[ūz,,شرح مراح دنقوز,Sharḥ Marāḥ al-arwāḥ,شرح مراح الارواح,Sharḥ Marāḥ al-arwāḥ,Q11639,,
Kitāb fīhi Sharḥ al-Jurrūmīyah fī ʻilm al-ʻArabīyah /,,كتاب فيه شرح الجرومية في علم العربية /,Sharḥ al-Ājurrūmīyah fī ʻilm al-ʻArabīyah,شرح الاجرومية في علم العربية,,,Sharḥ al-Ājurrūmīyah fī ʻilm al-ʻArabīyah,Q11862
al-Lumʻah al-sanīyah fī ḥall alfāẓ al-Ājurrūmīyah,,اللمعة السنية في حل الفاظ الاجرومية,,,,,Lumʻah al-sanīyah fī ḥall alfāẓ al-Ājurrūmīyah,Q12090
Kitāb Sharḥ al-Ajurrūmīyah /,,كتاب شرح الاجرومية /,Durrah al-Ṣabbāghīyah fī sharḥ al-Jurrūmīyah,درة الصباغية في شرح الجرومية,,,Durrah al-Ṣabbāghīyah fī sharḥ al-Jurrūmīyah,Q12022
Hārūnīyah wa-Sharḥuhā,Arabic grammatical text,هارونية وشرحها,,,Arabic grammatical text,Q27591,,
Nukat,,نكت,Nukat ʻalá Qaṭr al-nadá,نکت على قطر الندى,,,Nukat ʻalá Qaṭr al-nadá,Q11843
Kitāb ʻUnqūd al-zawāhir,,كتاب عنقود الزواهر,ʻUnqūd al-zawāhir,عنقود الزواهر,,,ʻUnqūd al-zawāhir,Q11978
Sharḥ al-Azharīyah fī ʻilm al-ʻArabīyah /,,شرح الازهرية في علم العربية /,Sharḥ al-Muqaddimah al-Azharīyah,شرح المقدمة الازهرية,,,Sharḥ al-Muqaddimah al-Azharīyah,Q11656
Hādhā Kitāb Sharḥ ʻAwāmil jadīd /,,هذا كتاب شرح عوامل جديد /,Sharḥ al-ʻAwāmil al-jadīd,شرح العوامل الجديد,,,Sharḥ al-ʻAwāmil al-jadīd,Q11667
Taʻlīq al-fawāḍil ʻalá iʻrāb al-ʻAwāmil,,تعليق الفواضل على اعراب العوامل,,,,,Taʻlīq al-fawāḍil ʻalá iʻrāb al-ʻAwāmil,Q11728
Natāʼij al-afkār fī sharḥ Iẓhār al-asrār,,نتائج الافکار في شرح اظهار الاسرار,,,,,Natāʼij al-afkār fī sharḥ Iẓhār al-asrār,Q11643
Ẓill asrār al-akhyār ʻalá Iẓhār al-asrār,,ظل اسرار الاخيار على اظهار الاسرار,,,,,Ẓill asrār al-akhyār ʻalá Iẓhār al-asrār,Q12094
Fatḥ al-asrār fī Kitāb al-Iẓhār,,فتح الاسرار في کتاب الاظهار,,,,,Fatḥ al-asrār fī Kitāb al-Iẓhār,Q11820
Kitāb Thamarāt al-bustān fī taḥqīq masʼalat al-Rummān /,,كتاب ثمرات البستان في تحقيق مسئلة الرمان /,Thamarāt al-bustān fī taḥqīq masʼalat al-Rummān,ثمرات البستان في تحقيق مسئلة الرمان,,,Thamarāt al-bustān fī taḥqīq masʼalat al-Rummān,Q12001
Mufīd al-iʻrāb,,مفيد الاعراب,,,,,Mufīd al-iʻrāb,Q11698
Ḥāshiyah ʻalá Sharḥ al-Risālah al-Sharṭīyah,,حاشية على شرح الرسالة الشرطية,,,,,Ḥāshiyah,Q11900
Kitāb al-Kifāyah ḥafīyah li-rāghib al-ḥafāyah /,,كتاب الكفاية حفية لراغب الحفاية /,Kifāyat al-muʻānī fī naẓm ḥurūf al-maʻānī,کفاية المعاني في نظم حروف المعاني,,,Kifāyat al-muʻānī fī naẓm ḥurūf al-maʻānī,Q12060
Sharḥ Manẓūmah fī al-naḥw Luʼluʼat al-nuḥāh,,شرح منظومة في النحو لؤلؤة النحاة,,,,,Sharḥ Manẓūmah fī al-naḥw Luʼluʼat al-nuḥāh,Q11692
Kitāb Abniyat al-abwāb wa-al-ʻalāmāt] ... [etc,Arabic grammatical text,كتاب ابنية الابواب والعلامات ... الخ,,,Arabic grammatical text,Q27591,,
Kitāb al-Durr al-naḍīd fī sharḥ al-qaṣīd,,كتاب الدر النضيد في شرح القصيد,Durr al-naḍīd fī sharḥ al-qaṣīd,در النضيد في شرح القصيد,,,Durr al-naḍīd fī sharḥ al-qaṣīd,Q11941
Hādhā majmūʻ fī ʻilm al-ʻarūḍ fīhi min al-shurūḥ wa-al-rasāyil,,هذا مجموع في علم العروض فيه من الشروح والرسايل,,,,,Majmūʻ fī ʻilm al-ʻarūḍ,Q11884
