place_as_recorded,authorized_label,structured_value,ds_qid
"Belgium, Southern Low Countries",Belgium;Low Countries,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7029439,Q1243;Q1115
"Belgium, Southern Low Countries (Huy)",Belgium;Low Countries;Huy,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7029439;http://vocab.getty.edu/tgn/7007896,Q1243;Q1115;Q38214
"Belgium, Walloon Brabant",Belgium;Brabant Wallon,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7018238,Q1243;Q38156
"Belgium; France, Belgium/northern France",Belgium;France;Northern France,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036,Q1243;Q122;Q1114
"Belgium; France, France or Belgium",Belgium;France,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070,Q1243;Q122
"Belgium; France, Northern France or Belgium",Belgium;France;Northern France,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004036,Q1243;Q122;Q1114
"Belgium; Italy, Ghent and Italy",Belgium;Italy;Ghent,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7007887,Q1243;Q134;Q16408
"Belgium; Italy, Northern Italy",Belgium;Italy;Northern Italy,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/4005363,Q1243;Q134;Q7507
"Belgium; Rhineland (Germany), Belgium or the Rhineland",Belgium;Rhineland;Germany,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7003683;http://vocab.getty.edu/tgn/7000084,Q1243;Q1305;Q131
Belgium?,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
Belgium? France,Belgium;France,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000070,Q1243;Q122
